iso3c,country_name,city_name,city_code,income_id,region_id,food_pct,plastic_pct,paper_pct,glass_pct,metal_pct,other_pct,recycling_pct,open_dump_pct,income_label
AFG,Afghanistan,Kabul,kbul,LIC,S. Asia,0.5217,0.1048,0.0462,0.0255,0.0044,0.1773,NA,0.4463,Low Income
ALB,Albania,Tirana,trna,UMIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,0.1,NA,Upper-Middle Income
ALB,Albania,Vlora,vlra,UMIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,NA,NA,Upper-Middle Income
DZA,Algeria,Algiers,algr,UMIC,Mid. East & N. Africa,0.543999631626482,0.16879989401183,0.0975002302334486,0.0115997266280736,0.0284003056853929,0.0234999684943702,NA,NA,Upper-Middle Income
DZA,Algeria,Mostaganem,most,UMIC,Mid. East & N. Africa,NA,NA,NA,NA,NA,NA,NA,NA,Upper-Middle Income
ASM,American Samoa,Pago Pago,pago,HIC,E. Asia & Pacific,0.196,0.128,0.264,0.034,0.079,0.257,NA,NA,High Income
AGO,Angola,Luanda,land,LMIC,Sub-Saharan Africa,0.3029,0.1502,0.0673,0.0107,0.0097,0.3076,0.034999999999999996,NA,Lower-Middle Income
ARG,Argentina,Buenos Aires,buai,UMIC,L. Amer. & the Caribbean,0.4164,0.1882,0.1307,0.0425,0.0197,0.0631,NA,NA,Upper-Middle Income
ARG,Argentina,Córdoba,crda,UMIC,L. Amer. & the Caribbean,0.33,0.11,0.092,0.043,0.01,0.316,NA,NA,Upper-Middle Income
ARG,Argentina,Rosario,rsro,UMIC,L. Amer. & the Caribbean,0.584,0.117,0.135,0.049,NA,0.115,0.0204,NA,Upper-Middle Income
ARM,Armenia,Vanadzor,vndz,UMIC,Eur. & Cent. Asia,0.4622,0.1271,0.0559,0.0387,0.0173,0.083,NA,NA,Upper-Middle Income
ARM,Armenia,Yerevan,yrvn,UMIC,Eur. & Cent. Asia,0.4248,0.1936,0.0751,0.0646,0.0209,0.1,NA,NA,Upper-Middle Income
AUS,Australia,Canberra,cnba,HIC,E. Asia & Pacific,0.2629,0.1277,0.154,0.1174,0.0207,0.0563,0.597,NA,High Income
AUS,Australia,Melbourne,mbrn,HIC,E. Asia & Pacific,0.375,0.1325,0.25,0.0875,0.0075,0.0725,0.2175,NA,High Income
AUS,Australia,Perth,prth,HIC,E. Asia & Pacific,0.46,0.082,0.152,0.068,0.035,0.095,0.32,NA,High Income
