iso3c,country_name,income_id,region_id,food_pct,plastic_pct,paper_pct,glass_pct,metal_pct,other_pct,open_dump_pct,recycling_pct,income_label
AFG,Afghanistan,LIC,S. Asia,0.5217,0.1175,0.0462,0.0128,0.0044,0.1137,NA,0.189,Low Income
ALB,Albania,UMIC,Eur. & Cent. Asia,0.581,0.092,0.089,0.049,0.022,0.079,8.67055256592417e-4,0.173337211774051,Upper-Middle Income
DZA,Algeria,LMIC,Mid. East & N. Africa,0.5361,0.15310000000000001,0.0676,0.0104,0.0172,0.0334,0.6,0.07,Lower-Middle Income
ASM,American Samoa,UMIC,E. Asia & Pacific,0.197,0.128,0.264,0.034,0.079,0.205,NA,NA,Upper-Middle Income
AND,Andorra,HIC,Eur. & Cent. Asia,0.208,NA,0.247,0.08,NA,0.297,NA,0.399,High Income
AGO,Angola,UMIC,Sub-Saharan Africa,0.5181,0.1349,0.119,0.0668,0.0443,0.0543,NA,NA,Upper-Middle Income
ATG,Antigua and Barbuda,HIC,L. Amer. & the Caribbean,0.252000007629394,0.195,0.187999992370605,0.136999998092651,0.0790000009536743,0.0790000009536743,0.495,NA,High Income
ARG,Argentina,UMIC,L. Amer. & the Caribbean,0.3474,0.1862,0.1371,0.0441,0.0202,0.1154,0.099,NA,Upper-Middle Income
ARM,Armenia,UMIC,Eur. & Cent. Asia,0.46,0.13,0.06,0.04,0.02,0.08,0.685,0.002,Upper-Middle Income
ABW,Aruba,HIC,L. Amer. & the Caribbean,NA,NA,NA,NA,NA,NA,NA,0.129479427813007,High Income
AUS,Australia,HIC,E. Asia & Pacific,0.385933509908315,0.0179264732513099,0.0417148827978677,0.0769897630670086,0.0976094610655648,0.0150746467609065,NA,0.361636420252921,High Income
AUT,Austria,HIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,NA,0.514657262508265,High Income
AZE,Azerbaijan,UMIC,Eur. & Cent. Asia,0.4345,0.0914,0.1452,0.0584,0.025,0.1442,NA,NA,Upper-Middle Income
BHS,"Bahamas, The",HIC,L. Amer. & the Caribbean,NA,NA,NA,NA,NA,NA,0.79,NA,High Income
BHR,Bahrain,HIC,Mid. East & N. Africa,0.4126,0.2998,0.069,0.0352,0.0224,0.1274,NA,0.277436013388485,High Income
BGD,Bangladesh,LMIC,S. Asia,0.1925,0.1765,0.1836,0.0557,0.0949,0.058,0.00999812,0.0314457,Lower-Middle Income
BRB,Barbados,HIC,L. Amer. & the Caribbean,0.319,0.128,0.187,0.049,0.046,0.162,NA,0.0428,High Income
BLR,Belarus,UMIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,NA,0.339,Upper-Middle Income
BEL,Belgium,HIC,Eur. & Cent. Asia,0.3681,0.1242,0.1475,0.0181,0.0238,0.1316,NA,0.332781098640032,High Income
BLZ,Belize,UMIC,L. Amer. & the Caribbean,0.4,0.17,0.08,0.06,0.03,0.05,0.7277,NA,Upper-Middle Income
BEN,Benin,NA,Sub-Saharan Africa,0.5213,0.0726,0.0314,0.016,0.0156,0.332,NA,0.25,NA
BMU,Bermuda,HIC,N. Amer.,0.24,0.19,0.27,0.13,0.05,0.08,NA,0.0164383561643836,High Income
BTN,Bhutan,LMIC,S. Asia,0.438474801126906,0.187194941178614,0.122972554436489,0.0692871705944413,0.0439765012579148,0.00801951713960618,NA,0.237268502997224,Lower-Middle Income
BOL,Bolivia,LMIC,L. Amer. & the Caribbean,0.595,0.101,0.048,0.025,0.018,0.19,NA,0.0389,Lower-Middle Income
